date,time,indicator,actual,previous,consensus,forecast
"Monday, August 1, 2022",6:00 AM,ISM Manufacturing PMI,52.8,53,52,52.2
"Tuesday, August 2, 2022",6:00 AM,JOLTS Job Openings,10.698,11.303,11,11
"Wednesday, August 3, 2022",6:00 AM,ISM Non Manufacturing PMI,56.7,55.3,53.5,52.5
"Thursday, August 4, 2022",4:30 AM,Balance of Trade,-79.6,-84.9,-80.1,-83
"Friday, August 5, 2022",4:30 AM,Non Farm Payrolls,528,398,250,290
"Wednesday, August 10, 2022",4:30 AM,Core Inflation Rate,5.9,5.9,6.1,5.9
"Wednesday, August 10, 2022",4:30 AM,Inflation Rate YoY,8.5,9.1,8.7,9.1
"Thursday, August 11, 2022",4:30 AM,PPI MoM,-0.5,1,0.2,0.4
"Friday, August 12, 2022",6:00 AM,Michigan Consumer Sentiment Pref,55.1,51.5,52.5,51.3
"Tuesday, August 16, 2022",4:30 AM,Buildling Permits,1.674,1.696,1.65,1.67
"Wednesday, August 17, 2022",4:30 AM,retail sales mom,0,0.8,0.1,0.2
"Wednesday, August 17, 2022",10:00 AM,fomc minutes,,,,
"Wednesday, August 24, 2022",4:30 AM,durable goods orders mom,0,2.2,0.6,0.8
"Friday, August 26, 2022",4:30 AM,personal income mom,0.2,0.7,0.6,0.5
"Friday, August 26, 2022",4:30 AM,personal spending mom,0.1,1,0.4,0.2
"Friday, August 26, 2022",6:00 AM,fed chair powell speech,,,,
"Tuesday, August 30, 2022",6:00 AM,jolts job openings,11.23,11.04,10.45,10.5
"Thursday, September 1, 2022",6:00 AM,ism manufacturing pmi,52.8,52.8,52,52
"Friday, September 2, 2022",4:30 AM,non farm payrolls,315,526,300,310
"Tuesday, September 6, 2022",6:00 AM,ism non manufacturing pmi,56.9,56.7,55.1,55
"Wednesday, September 7, 2022",4:30 AM,balance of trade,-70.7,-80.9,-70.3,-70
"Wednesday, September 14, 2022",4:30 AM,ppi mom,-0.1,-0.4,-0.1,0.1
"Thursday, September 15, 2022",4:30 AM,retail sales mom,0.3,-0.4,0,0.1
"Friday, September 16, 2022",6:00 AM,Michigan Consumer Sentiment Pref,59.5,58.2,60,58.6
"Tuesday, September 20, 2022",4:30 AM,building permits,1.517,1.685,1.61,1.63
"Wednesday, September 21, 2022",10:00 AM,fomc economic projections,,,,
"Wednesday, September 21, 2022",10:00 AM,fed press conference,,,,
"Tuesday, September 27, 2022",4:30 AM,durable goods orders mom,-0.2,-0.1,-0.4,-0.9
"Friday, September 30, 2022",4:30 AM,personal spending mom,0.4,-0.2,0.2,0.2
"Friday, September 30, 2022",4:30 AM,personal income mom,0.3,0.3,0.3,0.2
"Monday, October 3, 2022",6:00 AM,ism manufacturing pmi,50.9,52.8,52.2,52.9
"Tuesday, October 4, 2022",6:00 AM,jolts job openings,10.053,11.17,10.775,11.1
"Wednesday, October 5, 2022",4:30 AM,balance of trade,-67.4,-70.5,-67.7,-68
"Wednesday, October 5, 2022",6:00 AM,ism non manufacturing pmi,56.7,56.9,56,56.4
"Friday, October 7, 2022",4:30 AM,non farm payrolls,263,315,250,290
"Wednesday, October 12, 2022",4:30 AM,ppi mom,0.4,-0.2,0.2,0
"Wednesday, October 12, 2022",10:00 AM,fomc minutes,,,,
"Thursday, October 13, 2022",4:30 AM,inflation rate yoy,8.2,8.3,8.1,8.2
"Thursday, October 13, 2022",4:30 AM,core inflation rate yoy,6.6,6.3,6.5,6.4
"Friday, October 14, 2022",4:30 AM,retail sales mom,0,0.4,0.2,0.2
"Friday, October 14, 2022",6:00 AM,michigan consumer sentiment pref,59.8,58.6,59,58.3
"Wednesday, October 19, 2022",4:30 AM,buildling permits,1.564,1.542,1.53,1.487
"Thursday, October 27, 2022",4:30 AM,durable goods orders mom,0.4,0.2,0.6,0.2
"Friday, October 28, 2022",4:30 AM,personal income mom,0.4,0.4,0.3,0.2
"Friday, October 28, 2022",4:30 AM,personal spending mom,0.6,0.6,0.4,0.3
"Tuesday, November 1, 2022",6:00 AM,ism manufacturing pmi,50.2,50.9,50,50.1
"Tuesday, November 1, 2022",6:00 AM,jolts job openings,10.717,10.28,10,10.2
"Wednesday, November 2, 2022",10:30,fed press conference,,,,
"Thursday, November 3, 2022",4:30 AM,balance of trade,-73.3,-65.7,-72.2,-72
"Friday, November 4, 2022",4:30 AM,Non Farm Payrolls,261,315,200,240
"Thursday, November 10, 2022",5:30 AM,inflation rate yoy,7.7,8.2,8,8.1
"Thursday, November 10, 2022",5:30 AM,core inflation rate yoy,6.3,6.6,6.5,6.7
"Friday, November 11, 2022",7:00 AM,michigan consumer sentiment pref,54.7,56.9,59.5,59.3
