bc,ac,tbv,tav,time,mp
7039408.26,228281444.57,741169.75,357114.54,1659550683754,23.96
7039673.40,228256278.20,741172.01,356018.98,1659550691238,23.99
7049483.24,228285399.08,741549.19,357210.99,1659550698711,23.99
7049526.51,228276667.50,741550.86,356843.91,1659550706893,24
7046558.01,228297552.57,741402.99,357712.64,1659550714659,24
7019694.71,228298866.40,740277.13,357765.34,1659550722642,24
7072401.40,228275482.73,742465.26,356789.04,1659550730791,24.01
7032997.47,228262415.25,740797.95,356248.18,1659550739125,24
7053873.52,228299330.55,741665.54,357784.11,1659550747719,24
7059172.41,228286842.14,741893.86,357272.97,1659550756435,24
7029248.79,228266453.61,740643.31,356426.89,1659550765270,24
7017063.36,228266872.19,740121.52,356444.82,1659550768620,24
7037024.49,228268821.20,740955.57,356526.00,1659550771765,24
7065033.77,228246627.61,742124.15,355601.74,1659550774724,24
7073012.44,228276558.06,742452.82,356842.96,1659550777407,24.01
6995141.71,228266720.13,739197.87,356440.63,1659550787179,24
7017719.06,228273896.14,740129.99,356722.10,1659550797063,24
7017719.06,228274753.53,740129.99,356758.30,1659550800187,24
7012580.24,228236817.32,739911.13,355179.27,1659550810349,24
7009608.30,228249634.92,739709.65,355666.28,1659550821650,24.01
7046270.66,228275120.04,741231.73,356714.06,1659550832252,24.03
7038877.44,228281411.28,740922.53,356974.35,1659550835231,24.03
7049855.65,228281561.87,741338.13,356897.66,1659550846296,24.06
7063715.80,228288225.59,741901.19,357172.42,1659550849400,24.07
7075750.89,228289837.24,742390.72,357230.84,1659550852369,24.07
7075750.89,228289876.40,742390.72,357232.35,1659550855320,24.08
7043353.38,228297540.04,741039.99,357550.82,1659550858543,24.07
7033330.19,228261733.09,740635.98,356085.78,1659550870685,24.03
7041919.84,228264763.88,740994.02,356212.42,1659550873704,24.03
6799906.85,228295408.54,730706.62,357481.97,1659550886364,24.04
7055214.72,228274983.49,741383.69,356633.58,1659550899125,24.04
7068811.80,228280435.22,741941.22,356857.91,1659550902097,24.05
7089911.79,228283679.51,742782.16,356989.76,1659550915398,24.05
7038712.93,228301677.04,740655.21,357742.53,1659550928869,24.04
7058326.45,228289195.51,741471.31,357215.01,1659550942620,24.04
7074647.14,228286617.35,742153.17,357109.84,1659550956937,24.03
7050683.27,228284629.94,741153.31,357027.27,1659550970834,24.04
7089604.94,228284605.72,742782.36,357029.68,1659550984988,24.03
7070084.96,228250161.95,741967.58,355621.45,1659550999284,24.03
7108603.48,228263810.03,743475.21,356089.45,1659551013892,24.06
7075526.97,228278789.51,742093.18,356698.22,1659551028585,24.07
7092798.71,228287015.54,742801.96,357038.56,1659551044066,24.07
7081751.78,228258477.57,742342.24,355855.99,1659551046501,24.07
7079460.76,228272947.69,742247.86,356458.03,1659551049538,24.06
7079710.57,228275899.33,742258.26,356580.73,1659551052512,24.06
7077016.56,228300519.62,742148.58,357600.55,1659551055626,24.05
7072850.77,228305841.98,741975.23,357813.77,1659551058540,24.05
7067569.01,228315237.11,741758.66,358205.83,1659551061591,24.05
7099858.45,228278169.47,743103.76,356671.30,1659551078680,24.04
7063749.20,228308301.36,741601.89,357922.61,1659551095833,24.04
7098927.36,228288670.44,743065.27,357106.17,1659551113373,24.05
7089927.38,228290400.00,742705.86,357192.57,1659551131418,24.04
7090825.26,228290385.70,742743.23,357191.98,1659551134266,24.04
7063648.07,228289519.66,741621.81,357165.60,1659551152334,24.03
7059855.96,228289082.45,741473.12,357153.77,1659551170975,24.03
7059518.16,228267800.07,741453.82,356262.44,1659551189423,24.03
7041666.52,228255209.17,740727.46,355740.83,1659551208160,24.03
7053641.25,228282939.88,741276.57,356890.37,1659551227189,24.03
7040723.48,228271052.11,740735.17,356399.72,1659551246670,24.04
7042210.94,228292065.33,740799.38,357276.49,1659551265993,24.04
7038326.97,228242604.97,740637.14,355222.24,1659551285633,24.03
7013704.76,228257985.46,739611.25,355862.38,1659551305394,24.03
7035788.74,228273530.03,740529.56,356499.15,1659551325189,24.03
7023689.85,228290973.41,740038.92,357228.00,1659551345464,24.02
7029186.21,228271309.41,740264.82,356407.41,1659551348241,24.03
7032689.65,228278914.57,740435.73,356739.55,1659551368827,24.04
6967719.37,228241922.13,737717.93,355207.58,1659551389765,24.04
6967719.37,228239948.15,737717.93,355125.50,1659551392649,24.04
6967719.37,228241007.65,737717.93,355169.50,1659551395465,24.04
6968939.74,228241350.85,737769.07,355184.20,1659551398941,24.03
6960036.90,228235795.17,737400.11,354953.29,1659551401566,24.03
7001428.67,228240956.86,739125.18,355168.28,1659551404593,24.03
6991724.42,228259602.76,738706.20,355920.77,1659551426686,24.03
7030122.58,228249548.82,740311.70,355501.81,1659551449494,24.02
6999594.82,228251111.58,739042.46,355567.45,1659551472481,24.03
6997772.95,228274486.79,738968.57,356586.27,1659551495873,24.02
7057492.54,228260538.28,741448.09,356003.04,1659551519033,24.03
7046485.51,228278604.79,740986.02,356751.68,1659551542541,24.05
7045395.19,228261418.10,740930.47,355960.18,1659551566925,24.08
7013239.32,228238683.99,739533.18,355021.90,1659551591273,24.06
7048867.12,228272526.50,740995.71,356470.21,1659551615533,24.04
7029097.36,228262036.38,740172.76,356032.69,1659551618982,24.04
7066676.42,228284625.44,741744.91,356968.90,1659551643782,24.04
7029031.99,228284797.98,740173.55,356966.64,1659551668999,24.04
7055343.34,228275101.39,741267.08,356601.32,1659551694687,24.04
7004955.02,228269405.02,739164.70,356292.53,1659551720865,24.04
7040616.30,228297710.11,740655.05,357469.04,1659551746803,24.03
7046626.75,228249506.59,740898.79,355459.96,1659551773035,24.05
7049501.26,228249588.42,741001.12,355437.33,1659551799626,24.07
7050098.01,228234457.84,741005.70,354815.98,1659551826223,24.06
7032496.16,228212676.37,740271.19,353921.97,1659551853121,24.06
7056569.40,228225847.09,741269.55,354466.77,1659551856069,24.06
7031871.98,228158441.51,740242.29,351665.66,1659551859190,24.06
